Run,BioSample,Cell_type,Experiment,Sample Name,source_name,SRA Study,time_point,replicate
SRR7872270,SAMN10085537,ASCs on day 3 after adipogenic induction,SRX4711156,GSM3394773,Human primary adipose stem cells,SRP131871,Day 3,rep1
SRR6657510,SAMN08446098,ASCs on the day of differentiation induction,SRX3634727,GSM2973922,Human primary adipose stem cells,SRP131871,Day 0,rep1
SRR6657511,SAMN08446098,ASCs on the day of differentiation induction,SRX3634727,GSM2973922,Human primary adipose stem cells,SRP131871,Day 0,rep1
SRR6657512,SAMN08446098,ASCs on the day of differentiation induction,SRX3634727,GSM2973922,Human primary adipose stem cells,SRP131871,Day 0,rep1
SRR6657513,SAMN08446098,ASCs on the day of differentiation induction,SRX3634727,GSM2973922,Human primary adipose stem cells,SRP131871,Day 0,rep1
SRR6657514,SAMN08446098,ASCs on the day of differentiation induction,SRX3634727,GSM2973922,Human primary adipose stem cells,SRP131871,Day 0,rep1
SRR6657515,SAMN08446097,ASCs on the day of differentiation induction,SRX3634728,GSM2973923,Human primary adipose stem cells,SRP131871,Day 0,rep2
SRR6657516,SAMN08446097,ASCs on the day of differentiation induction,SRX3634728,GSM2973923,Human primary adipose stem cells,SRP131871,Day 0,rep2
SRR6657517,SAMN08446097,ASCs on the day of differentiation induction,SRX3634728,GSM2973923,Human primary adipose stem cells,SRP131871,Day 0,rep2
SRR6657518,SAMN08446097,ASCs on the day of differentiation induction,SRX3634728,GSM2973923,Human primary adipose stem cells,SRP131871,Day 0,rep2
SRR6657519,SAMN08446097,ASCs on the day of differentiation induction,SRX3634728,GSM2973923,Human primary adipose stem cells,SRP131871,Day 0,rep2
SRR6657520,SAMN08446096,ASCs on day 1 after adipogenic induction,SRX3634729,GSM2973924,Human primary adipose stem cells,SRP131871,Day 1,rep1
SRR6657521,SAMN08446096,ASCs on day 1 after adipogenic induction,SRX3634729,GSM2973924,Human primary adipose stem cells,SRP131871,Day 1,rep1
SRR6657522,SAMN08446096,ASCs on day 1 after adipogenic induction,SRX3634729,GSM2973924,Human primary adipose stem cells,SRP131871,Day 1,rep1
SRR6657523,SAMN08446096,ASCs on day 1 after adipogenic induction,SRX3634729,GSM2973924,Human primary adipose stem cells,SRP131871,Day 1,rep1
SRR6657524,SAMN08446096,ASCs on day 1 after adipogenic induction,SRX3634729,GSM2973924,Human primary adipose stem cells,SRP131871,Day 1,rep1
SRR6657525,SAMN08446095,ASCs on day 1 after adipogenic induction,SRX3634730,GSM2973925,Human primary adipose stem cells,SRP131871,Day 1,rep2
SRR6657526,SAMN08446095,ASCs on day 1 after adipogenic induction,SRX3634730,GSM2973925,Human primary adipose stem cells,SRP131871,Day 1,rep2
SRR6657527,SAMN08446095,ASCs on day 1 after adipogenic induction,SRX3634730,GSM2973925,Human primary adipose stem cells,SRP131871,Day 1,rep2
