study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB21971	SAMEA104177367	ERX2365193	ERR2313901	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/001/ERR2313901/ERR2313901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/001/ERR2313901/ERR2313901_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313901/cis_0.5_1_DHG11566_HH2GKALXX_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313901/cis_0.5_1_DHG11566_HH2GKALXX_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR231/001/ERR2313901
PRJEB21971	SAMEA104177368	ERX2365194	ERR2313902	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/002/ERR2313902/ERR2313902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/002/ERR2313902/ERR2313902_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313902/cis_1_2_DHG11567_HH2GKALXX_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313902/cis_1_2_DHG11567_HH2GKALXX_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR231/002/ERR2313902
PRJEB21971	SAMEA104303106	ERX2365195	ERR2313903	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/003/ERR2313903/ERR2313903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/003/ERR2313903/ERR2313903_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313903/cis058wks1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313903/cis058wks1_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR231/003/ERR2313903
PRJEB21971	SAMEA104303107	ERX2365196	ERR2313904	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/004/ERR2313904/ERR2313904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/004/ERR2313904/ERR2313904_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313904/cis058wks4_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313904/cis058wks4_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR231/004/ERR2313904
PRJEB21971	SAMEA104303108	ERX2365197	ERR2313905	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/005/ERR2313905/ERR2313905.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/005/ERR2313905/ERR2313905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/005/ERR2313905/ERR2313905_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313905/cis18wks2_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313905/cis18wks2_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR231/005/ERR2313905
PRJEB21971	SAMEA104303109	ERX2365198	ERR2313906	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/006/ERR2313906/ERR2313906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/006/ERR2313906/ERR2313906_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313906/cis18wks3_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313906/cis18wks3_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR231/006/ERR2313906
PRJEB21971	SAMEA104177366	ERX2365199	ERR2313907	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/007/ERR2313907/ERR2313907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR231/007/ERR2313907/ERR2313907_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313907/MCF10A_DHG11565_HH2GKALXX_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR231/ERR2313907/MCF10A_DHG11565_HH2GKALXX_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR231/007/ERR2313907
PRJEB21971	SAMEA104379877	ERX2389182	ERR2338296	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/006/ERR2338296/ERR2338296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/006/ERR2338296/ERR2338296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR233/ERR2338296/HepG2_Cis_1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR233/ERR2338296/HepG2_Cis_1_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR233/006/ERR2338296
PRJEB21971	SAMEA104379876	ERX2389183	ERR2338297	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/007/ERR2338297/ERR2338297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/007/ERR2338297/ERR2338297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR233/ERR2338297/HepG2_Cis_2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR233/ERR2338297/HepG2_Cis_2_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR233/007/ERR2338297
PRJEB21971	SAMEA104379875	ERX2389184	ERR2338298	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/008/ERR2338298/ERR2338298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/008/ERR2338298/ERR2338298_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR233/ERR2338298/HepG2_Cis_3_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR233/ERR2338298/HepG2_Cis_3_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR233/008/ERR2338298
